Ensemble,Disagreement,Average Q-Statistic,Average Kappa
Homogeneous,0.13455377574370708,0.8662791349573825,0.4686971732745392
Heterogeneous,0.08995502248875563,0.8414552572042086,0.417347358918041
AdaBoost,0.4797934366150258,0.053217058308380236,0.05114870617758733
Easy Ensemble,0.041237276098792706,0.9946360458455039,0.8886198083990098
