Ensemble,Disagreement,Average Q-Statistic,Average Kappa
Homogeneous,0.20452876376988985,0.8691489066955075,0.5802989105942644
Heterogeneous,0.07751937984496124,0.9860022820708524,0.8393425880498436
AdaBoost,0.5049095607235142,0.0,0.0
Easy Ensemble,0.058369033047735615,0.9933603872765532,0.8826497364164496
