Ensemble,Disagreement,Average Q-Statistic,Average Kappa
Homogeneous,0.001143051970011402,0.9994086754742697,0.6560874465315384
Heterogeneous,0.0007139262432264785,0.9997499715583116,0.7219317806269112
AdaBoost,0.4994639701321349,0.0,0.0
Easy Ensemble,0.041478899136820666,0.9648711226758925,0.5339696246577157
