Ensemble,Disagreement,Average Q-Statistic,Average Kappa
Homogeneous,0.0323435605141887,0.776500620808374,0.10631807795316904
Heterogeneous,0.0032258064516129032,-0.3333333333331973,-0.0004486316733961863
AdaBoost,0.3762467997951869,0.0,0.0
Easy Ensemble,0.06565789473684211,0.9867214639598462,0.8525645520757038
