Ensemble,Disagreement,Average Q-Statistic,Average Kappa
Homogeneous,0.3844611528822055,0.4414782469236963,0.23110352244664512
Heterogeneous,0.2222222222222222,0.8758764440420777,0.5578572812146005
AdaBoost,0.47513227513227513,0.19623572070824677,0.07512580290692154
Easy Ensemble,0.1330827067669173,0.960303459035013,0.7343970589300236
