Ensemble,Disagreement,Average Q-Statistic,Average Kappa
Homogeneous,0.2230075187969925,0.8150516610052017,0.5139270651952351
Heterogeneous,0.1523809523809524,0.9477370735846291,0.6490944533049795
AdaBoost,0.5079365079365079,0.0,0.0
Easy Ensemble,0.07872180451127819,0.9841757648985331,0.8330004211361114
